Nome,Partido,Estado,Email,Telefone
MARCELO SQUASSONI,PRB,SP,dep.marcelosquassoni@camara.leg.br,3215-5550
MARCIO ALVINO,PR,SP,dep.marcioalvino@camara.leg.br,3215-5331
MÁRCIO BIOLCHI,PMDB,RS,dep.marciobiolchi@camara.leg.br,3215-5927
MÁRCIO MARINHO,PRB,BA,dep.marciomarinho@camara.leg.br,3215-5326
MARCO ANTÔNIO CABRAL,PMDB,RJ,dep.marcoantoniocabral@camara.leg.br,3215-5585
MARCO MAIA,PT,RS,dep.marcomaia@camara.leg.br,3215-5964
MARCO TEBALDI,PSDB,SC,dep.marcotebaldi@camara.leg.br,3215-5284
MARCON,PT,RS,dep.marcon@camara.leg.br,3215-5569
MARCOS ABRÃO,PPS,GO,dep.marcosabrao@camara.leg.br,3215-5375
MARCOS MONTES,PSD,MG,dep.marcosmontes@camara.leg.br,3215-5334
MARCOS REATEGUI,PSD,AP,dep.marcosreategui@camara.leg.br,3215-5344
MARCOS ROGÉRIO,DEM,RO,dep.marcosrogerio@camara.leg.br,3215-5930
MARCOS SOARES,DEM,RJ,dep.marcossoares@camara.leg.br,3215-5741
MARCUS PESTANA,PSDB,MG,dep.marcuspestana@camara.leg.br,3215-5715
MARCUS VICENTE,PP,ES,dep.marcusvicente@camara.leg.br,3215-5360
MARGARIDA SALOMÃO,PT,MG,dep.margaridasalomao@camara.leg.br,3215-5236
MARIA DO ROSÁRIO,PT,RS,dep.mariadorosario@camara.leg.br,3215-5312
MARIA HELENA,PSB,RR,dep.mariahelena@camara.leg.br,3215-5410
MARIANA CARVALHO,PSDB,RO,dep.marianacarvalho@camara.leg.br,3215-5508
MARINALDO ROSENDO,PSB,PE,dep.marinaldorosendo@camara.leg.br,3215-5827
MARINHA RAUPP,PMDB,RO,dep.marinharaupp@camara.leg.br,3215-5614
MÁRIO HERINGER,PDT,MG,dep.marioheringer@camara.leg.br,3215-5211
MÁRIO NEGROMONTE JR.,PP,BA,dep.marionegromontejr.@camara.leg.br,3215-5517
MAURO LOPES,PMDB,MG,dep.maurolopes@camara.leg.br,3215-5844
MAURO MARIANI,PMDB,SC,dep.mauromariani@camara.leg.br,3215-5925
MAURO PEREIRA,PMDB,RS,dep.mauropereira@camara.leg.br,3215-5843
MIGUEL HADDAD,PSDB,SP,dep.miguelhaddad@camara.leg.br,3215-5250
MIGUEL LOMBARDI,PR,SP,dep.miguellombardi@camara.leg.br,3215-5835
MILTON MONTI,PR,SP,dep.miltonmonti@camara.leg.br,3215-5328
MIRO TEIXEIRA,REDE,RJ,dep.miroteixeira@camara.leg.br,3215-5270
MISAEL VARELLA,DEM,MG,dep.misaelvarella@camara.leg.br,3215-5721
MISSIONÁRIO JOSÉ OLIMPIO,DEM,SP,dep.missionariojoseolimpio@camara.leg.br,3215-5507
MOISÉS DINIZ,PCdoB,AC,dep.moisesdiniz@camara.leg.br,3215-5421
MOSES RODRIGUES,PMDB,CE,dep.mosesrodrigues@camara.leg.br,3215-5809
NELSON MARQUEZELLI,PTB,SP,dep.nelsonmarquezelli@camara.leg.br,3215-5920
NELSON MEURER,PP,PR,dep.nelsonmeurer@camara.leg.br,3215-5916
NELSON PADOVANI,PSDB,PR,dep.nelsonpadovani@camara.leg.br,3215-5513
NELSON PELLEGRINO,PT,BA,dep.nelsonpellegrino@camara.leg.br,3215-5826
NEWTON CARDOSO JR,PMDB,MG,dep.newtoncardosojr@camara.leg.br,3215-5932
NILSON LEITÃO,PSDB,MT,dep.nilsonleitao@camara.leg.br,3215-5825
NILSON PINTO,PSDB,PA,dep.nilsonpinto@camara.leg.br,3215-5527
NILTO TATTO,PT,SP,dep.niltotatto@camara.leg.br,3215-5267
NILTON CAPIXABA,PTB,RO,dep.niltoncapixaba@camara.leg.br,3215-5724
NIVALDO ALBUQUERQUE,PRP,AL,dep.nivaldoalbuquerque@camara.leg.br,3215-5425
NORMA AYUB,DEM,ES,dep.normaayub@camara.leg.br,3215-5601
ODORICO MONTEIRO,PSB,CE,dep.odoricomonteiro@camara.leg.br,3215-5582
ONYX LORENZONI,DEM,RS,dep.onyxlorenzoni@camara.leg.br,3215-5828
ORLANDO SILVA,PCdoB,SP,dep.orlandosilva@camara.leg.br,3215-5923
OSMAR BERTOLDI,DEM,PR,dep.osmarbertoldi@camara.leg.br,3215-5268
OSMAR SERRAGLIO,PMDB,PR,dep.osmarserraglio@camara.leg.br,3215-5845
OTAVIO LEITE,PSDB,RJ,dep.otavioleite@camara.leg.br,3215-5225
PADRE JOÃO,PT,MG,dep.padrejoao@camara.leg.br,3215-5743
PAES LANDIM,PTB,PI,dep.paeslandim@camara.leg.br,3215-5648
PASTOR EURICO,PHS,PE,dep.pastoreurico@camara.leg.br,3215-5906
PASTOR LUCIANO BRAGA,PRB,BA,dep.pastorlucianobraga@camara.leg.br,3215-5618
PATRUS ANANIAS,PT,MG,dep.patrusananias@camara.leg.br,3215-5720
PAUDERNEY AVELINO,DEM,AM,dep.pauderneyavelino@camara.leg.br,3215-5610
PAULÃO,PT,AL,dep.paulao@camara.leg.br,3215-5366
PAULO ABI-ACKEL,PSDB,MG,dep.pauloabi-ackel@camara.leg.br,3215-5460
PAULO AZI,DEM,BA,dep.pauloazi@camara.leg.br,3215-5635
PAULO FEIJÓ,PR,RJ,dep.paulofeijo@camara.leg.br,3215-5336
PAULO FOLETTO,PSB,ES,dep.paulofoletto@camara.leg.br,3215-5839
PAULO FREIRE,PR,SP,dep.paulofreire@camara.leg.br,3215-5416
PAULO MAGALHÃES,PSD,BA,dep.paulomagalhaes@camara.leg.br,3215-5903
PAULO MALUF,PP,SP,dep.paulomaluf@camara.leg.br,3215-5512
PAULO PEREIRA DA SILVA,SD,SP,dep.paulopereiradasilva@camara.leg.br,3215-5217
PAULO PIMENTA,PT,RS,dep.paulopimenta@camara.leg.br,3215-5552
PAULO TEIXEIRA,PT,SP,dep.pauloteixeira@camara.leg.br,3215-5281
PEDRO CHAVES,PMDB,GO,dep.pedrochaves@camara.leg.br,3215-5406
PEDRO CUNHA LIMA,PSDB,PB,dep.pedrocunhalima@camara.leg.br,3215-5611
PEDRO FERNANDES,PTB,MA,dep.pedrofernandes@camara.leg.br,3215-5814
PEDRO PAULO,PMDB,RJ,dep.pedropaulo@camara.leg.br,3215-5727
PEDRO UCZAI,PT,SC,dep.pedrouczai@camara.leg.br,3215-5229
PEDRO VILELA,PSDB,AL,dep.pedrovilela@camara.leg.br,3215-5705
PEPE VARGAS,PT,RS,dep.pepevargas@camara.leg.br,3215-5858
POLLYANA GAMA,PPS,SP,dep.pollyanagama@camara.leg.br,3215-5921
POMPEO DE MATTOS,PDT,RS,dep.pompeodemattos@camara.leg.br,3215-5704
PR. MARCO FELICIANO,PSC,SP,dep.pr.marcofeliciano@camara.leg.br,3215-5254
PROF. GEDEÃO AMORIM,PMDB,AM,dep.prof.gedeaoamorim@camara.leg.br,3215-5474
PROFESSOR VICTÓRIO GALLI,PSC,MT,dep.professorvictoriogalli@camara.leg.br,3215-5539
PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,dep.professoradorinhaseabrarezende@camara.leg.br,3215-5432
PROFESSORA MARCIVANIA,PCdoB,AP,dep.professoramarcivania@camara.leg.br,3215-5338
RAFAEL MOTTA,PSB,RN,dep.rafaelmotta@camara.leg.br,3215-5737
RAIMUNDO GOMES DE MATOS,PSDB,CE,dep.raimundogomesdematos@camara.leg.br,3215-5725
RAQUEL MUNIZ,PSD,MG,dep.raquelmuniz@camara.leg.br,3215-5444
REGINALDO LOPES,PT,MG,dep.reginaldolopes@camara.leg.br,3215-5426
REINHOLD STEPHANES,PSD,PR,dep.reinholdstephanes@camara.leg.br,3215-5519
REMÍDIO MONAI,PR,RR,dep.remidiomonai@camara.leg.br,3215-5641
RENATA ABREU,PODE,SP,dep.renataabreu@camara.leg.br,3215-5726
RENATO ANDRADE,PP,MG,dep.renatoandrade@camara.leg.br,3215-5483
RENATO MOLLING,PP,RS,dep.renatomolling@camara.leg.br,3215-5337
RENZO BRAZ,PP,MG,dep.renzobraz@camara.leg.br,3215-5736
RICARDO IZAR,PP,SP,dep.ricardoizar@camara.leg.br,3215-5634
RICARDO TEOBALDO,PODE,PE,dep.ricardoteobaldo@camara.leg.br,3215-5603
RICARDO TRIPOLI,PSDB,SP,dep.ricardotripoli@camara.leg.br,3215-5241
ROBERTO ALVES,PRB,SP,dep.robertoalves@camara.leg.br,3215-5946
ROBERTO BALESTRA,PP,GO,dep.robertobalestra@camara.leg.br,3215-5219
ROBERTO BRITTO,PP,BA,dep.robertobritto@camara.leg.br,3215-5733
ROBERTO DE LUCENA,PV,SP,dep.robertodelucena@camara.leg.br,3215-5235
ROBERTO FREIRE,PPS,SP,dep.robertofreire@camara.leg.br,3215-5242
ROBERTO GÓES,PDT,AP,dep.robertogoes@camara.leg.br,3215-5462
ROBERTO SALES,PRB,RJ,dep.robertosales@camara.leg.br,3215-5332
ROCHA,PSDB,AC,dep.rocha@camara.leg.br,3215-5607
RODRIGO DE CASTRO,PSDB,MG,dep.rodrigodecastro@camara.leg.br,3215-5701
RODRIGO MAIA,DEM,RJ,dep.rodrigomaia@camara.leg.br,3215-5308
RODRIGO MARTINS,PSB,PI,dep.rodrigomartins@camara.leg.br,3215-5558
RODRIGO PACHECO,PMDB,MG,dep.rodrigopacheco@camara.leg.br,3215-5510
ROGÉRIO MARINHO,PSDB,RN,dep.rogeriomarinho@camara.leg.br,3215-5446
ROGÉRIO PENINHA MENDONÇA,PMDB,SC,dep.rogeriopeninhamendonca@camara.leg.br,3215-5656
ROGÉRIO ROSSO,PSD,DF,dep.rogeriorosso@camara.leg.br,3215-5283
RÔMULO GOUVEIA,PSD,PB,dep.romulogouveia@camara.leg.br,3215-5411
RONALDO BENEDET,PMDB,SC,dep.ronaldobenedet@camara.leg.br,3215-5918
RONALDO CARLETTO,PP,BA,dep.ronaldocarletto@camara.leg.br,3215-5262
RONALDO FONSECA,PROS,DF,dep.ronaldofonseca@camara.leg.br,3215-5223
RONALDO LESSA,PDT,AL,dep.ronaldolessa@camara.leg.br,3215-5722
RONALDO MARTINS,PRB,CE,dep.ronaldomartins@camara.leg.br,3215-5568
RONALDO NOGUEIRA,PTB,RS,dep.ronaldonogueira@camara.leg.br,3215-5625
RÔNEY NEMER,PP,DF,dep.roneynemer@camara.leg.br,3215-5572
ROSANGELA GOMES,PRB,RJ,dep.rosangelagomes@camara.leg.br,3215-5438
ROSINHA DA ADEFAL,AVANTE,AL,dep.rosinhadaadefal@camara.leg.br,3215-5412
RUBENS BUENO,PPS,PR,dep.rubensbueno@camara.leg.br,3215-5623
RUBENS OTONI,PT,GO,dep.rubensotoni@camara.leg.br,3215-5501
RUBENS PEREIRA JÚNIOR,PCdoB,MA,dep.rubenspereirajunior@camara.leg.br,3215-5574
SÁGUAS MORAES,PT,MT,dep.saguasmoraes@camara.leg.br,3215-5371
SANDES JÚNIOR,PP,GO,dep.sandesjunior@camara.leg.br,3215-5441
SANDRO ALEX,PSD,PR,dep.sandroalex@camara.leg.br,3215-5221
SARAIVA FELIPE,PMDB,MG,dep.saraivafelipe@camara.leg.br,3215-5429
SÉRGIO BRITO,PSD,BA,dep.sergiobrito@camara.leg.br,3215-5638
SÉRGIO MORAES,PTB,RS,dep.sergiomoraes@camara.leg.br,3215-5258
SÉRGIO REIS,PRB,SP,dep.sergioreis@camara.leg.br,3215-5213
SERGIO SOUZA,PMDB,PR,dep.sergiosouza@camara.leg.br,3215-5702
SERGIO VIDIGAL,PDT,ES,dep.sergiovidigal@camara.leg.br,3215-5812
SERGIO ZVEITER,PODE,RJ,dep.sergiozveiter@camara.leg.br,3215-5437
SEVERINO NINHO,PSB,PE,dep.severinoninho@camara.leg.br,3215-5314
SHÉRIDAN,PSDB,RR,dep.sheridan@camara.leg.br,3215-5246
SILAS CÂMARA,PRB,AM,dep.silascamara@camara.leg.br,3215-5532
SILAS FREIRE,PODE,PI,dep.silasfreire@camara.leg.br,3215-5484
SILVIO COSTA,AVANTE,PE,dep.silviocosta@camara.leg.br,3215-5417
SILVIO TORRES,PSDB,SP,dep.silviotorres@camara.leg.br,3215-5404
SIMÃO SESSIM,PP,RJ,dep.simaosessim@camara.leg.br,3215-5709
SIMONE MORGADO,PMDB,PA,dep.simonemorgado@camara.leg.br,3215-5440
SORAYA SANTOS,PMDB,RJ,dep.sorayasantos@camara.leg.br,3215-5352
SÓSTENES CAVALCANTE,DEM,RJ,dep.sostenescavalcante@camara.leg.br,3215-5560
STEFANO AGUIAR,PSD,MG,dep.stefanoaguiar@camara.leg.br,3215-5341
SUBTENENTE GONZAGA,PDT,MG,dep.subtenentegonzaga@camara.leg.br,3215-5750
TADEU ALENCAR,PSB,PE,dep.tadeualencar@camara.leg.br,3215-5820
TAKAYAMA,PSC,PR,dep.takayama@camara.leg.br,3215-5910
TENENTE LÚCIO,PSB,MG,dep.tenentelucio@camara.leg.br,3215-5239
TEREZA CRISTINA,S.PART.,MS,dep.terezacristina@camara.leg.br,3215-5448
THIAGO PEIXOTO,PSD,GO,dep.thiagopeixoto@camara.leg.br,3215-5941
TIRIRICA,PR,SP,dep.tiririca@camara.leg.br,3215-5637
TONINHO PINHEIRO,PP,MG,dep.toninhopinheiro@camara.leg.br,3215-5584
TONINHO WANDSCHEER,PROS,PR,dep.toninhowandscheer@camara.leg.br,3215-5902
ULDURICO JUNIOR,PV,BA,dep.ulduricojunior@camara.leg.br,3215-5729
VAIDON OLIVEIRA,PROS,CE,dep.vaidonoliveira@camara.leg.br,3215-5570
VALADARES FILHO,PSB,SE,dep.valadaresfilho@camara.leg.br,3215-5660
VALDIR COLATTO,PMDB,SC,dep.valdircolatto@camara.leg.br,3215-5516
VALMIR ASSUNÇÃO,PT,BA,dep.valmirassuncao@camara.leg.br,3215-5739
VALMIR PRASCIDELLI,PT,SP,dep.valmirprascidelli@camara.leg.br,3215-5837
VALTENIR PEREIRA,PSB,MT,dep.valtenirpereira@camara.leg.br,3215-5913
VANDER LOUBET,PT,MS,dep.vanderloubet@camara.leg.br,3215-5838
VANDERLEI MACRIS,PSDB,SP,dep.vanderleimacris@camara.leg.br,3215-5348
VENEZIANO VITAL DO RÊGO,PMDB,PB,dep.venezianovitaldorego@camara.leg.br,3215-5833
VICENTE ARRUDA,PDT,CE,dep.vicentearruda@camara.leg.br,3215-5911
VICENTE CANDIDO,PT,SP,dep.vicentecandido@camara.leg.br,3215-5819
VICENTINHO,PT,SP,dep.vicentinho@camara.leg.br,3215-5740
VICENTINHO JÚNIOR,PR,TO,dep.vicentinhojunior@camara.leg.br,3215-5817
VICTOR MENDES,PSD,MA,dep.victormendes@camara.leg.br,3215-5580
VINICIUS CARVALHO,PRB,SP,dep.viniciuscarvalho@camara.leg.br,3215-5356
VINICIUS GURGEL,PR,AP,dep.viniciusgurgel@camara.leg.br,3215-5852
VITOR LIPPI,PSDB,SP,dep.vitorlippi@camara.leg.br,3215-5823
VITOR VALIM,PMDB,CE,dep.vitorvalim@camara.leg.br,3215-5545
WADIH DAMOUS,PT,RJ,dep.wadihdamous@camara.leg.br,3215-5413
WALDENOR PEREIRA,PT,BA,dep.waldenorpereira@camara.leg.br,3215-5954
WALDIR MARANHÃO,AVANTE,MA,dep.waldirmaranhao@camara.leg.br,3215-5975
WALNEY ROCHA,PEN,RJ,dep.walneyrocha@camara.leg.br,3215-5575
WALTER ALVES,PMDB,RN,dep.walteralves@camara.leg.br,3215-5435
WALTER IHOSHI,PSD,SP,dep.walterihoshi@camara.leg.br,3215-5372
WELITON PRADO,PROS,MG,dep.welitonprado@camara.leg.br,3215-5862
WELLINGTON ROBERTO,PR,PB,dep.wellingtonroberto@camara.leg.br,3215-5514
WEVERTON ROCHA,PDT,MA,dep.wevertonrocha@camara.leg.br,3215-5405
WILSON BESERRA,PMDB,RJ,dep.wilsonbeserra@camara.leg.br,3215-5467
WILSON FILHO,PTB,PB,dep.wilsonfilho@camara.leg.br,3215-5534
WLADIMIR COSTA,SD,PA,dep.wladimircosta@camara.leg.br,3215-5343
WOLNEY QUEIROZ,PDT,PE,dep.wolneyqueiroz@camara.leg.br,3215-5936
XUXU DAL MOLIN,PSC,MT,dep.xuxudalmolin@camara.leg.br,3215-5374
YEDA CRUSIUS,PSDB,RS,dep.yedacrusius@camara.leg.br,3215-5445
ZÉ AUGUSTO NALIN,PMDB,RJ,dep.zeaugustonalin@camara.leg.br,3215-5302
ZÉ CARLOS,PT,MA,dep.zecarlos@camara.leg.br,3215-5748
ZÉ GERALDO,PT,PA,dep.zegeraldo@camara.leg.br,3215-5266
ZÉ SILVA,SD,MG,dep.zesilva@camara.leg.br,3215-5608
ZECA CAVALCANTI,PTB,PE,dep.zecacavalcanti@camara.leg.br,3215-5318
ZECA DIRCEU,PT,PR,dep.zecadirceu@camara.leg.br,3215-5613
ZECA DO PT,PT,MS,dep.zecadopt@camara.leg.br,3215-5860
ZENAIDE MAIA,PR,RN,dep.zenaidemaia@camara.leg.br,3215-5439
